,comment,target
256,"I again found many of the lectures to be difficult to follow along, there seems to be lots of different styles of videos in the way that the person was superimposed on the slides. In fact it was often impossible to read the text in the slide due to the size of the presenters head which obscured the text. Honestly this data science course is getting worse as the months progress, you really should think of updating the content of the course if you want to continue to charge money for it. 2 stars as I did actually learn something despite the quality of the material and its delivery.","{'lot': ['lots'], 'style': ['styles'], 'video': ['videos'], 'way': ['way'], 'person': ['person'], 'slide': ['slide', 'slides'], 'fact': ['fact'], 'text': ['text'], 'size': ['size'], 'data scienc cours': ['data science course'], 'month': ['months'], 'content': ['content'], 'cours': ['course'], 'someth': ['something'], 'qualiti': ['quality'], 'materi': ['material'], 'deliveri': ['delivery']}"
257,It is a good course for learning regression model implementation in R. You may need to have a basic understanding of popular regression models like linear &amp; logistic as the course doesn't cover mathematical aspects in detail,"{'cours': ['course'], 'regress model implement': ['regression model implementation'], 'r': ['R']}"
258,I really learned some useful knowledge and codes from this course!,"{'knowledg': ['knowledge'], 'code': ['codes'], 'cours': ['course']}"
259,Great - learned a bunch,{'bunch': ['bunch']}
260,Good course. My only negative remark is that I really missed the swirl exercises that were available for the other courses of this specialization.,"{'cours': ['course', 'courses'], 'remark': ['remark'], 'swirl exercis': ['swirl exercises'], 'special': ['specialization']}"
261,"The level of this course is a lot higher than the other courses. The course contains a lot of material and exercises which makes it hard to finish the course within the time period of one month. Nevertheless did I like Brian's way of teaching. He's a perfectionist and takes his time to explain everything in detail. I really liked the challenge, 5 stars.","{'level': ['level'], 'cours': ['course', 'courses'], 'lot': ['lot'], 'materi': ['material'], 'exercis': ['exercises'], 'time period': ['time period'], 'month': ['month'], 'brian': ['Brian'], 'way': ['way'], 'teach': ['teaching'], 'time': ['time'], 'everyth': ['everything'], 'detail': ['detail'], 'challeng': ['challenge']}"
262,"Difficult, fast peaced and not well explained. Requires a lot of work. ","{'lot': ['lot'], 'work': ['work']}"
263,Interesting and important course!I don't think this course is suitable for beginners. You need to know this stuff before you take the course. Works well as a refresher.,"{'course!i': ['course!I'], 'cours': ['course'], 'beginn': ['beginners'], 'stuff': ['stuff'], 'work': ['Works'], 'refresh': ['refresher']}"
264,Very informative and detailed explanation of how regression model works!,"{'explan': ['explanation'], 'regress model': ['regression model']}"
265,Great course!,{'cours': ['course']}
266,"Very concise and good structured course. The new videos are much better than the old ones! Thank you Brian Caffo! However in the discussion forum you find less posts than in the previous format, which is a pitty. ","{'cours': ['course'], 'video': ['videos'], 'one': ['ones'], 'brian caffo': ['Brian Caffo'], 'discuss forum': ['discussion forum'], 'post': ['posts'], 'format': ['format']}"
267,Fantastic course with great visualizations,"{'cours': ['course'], 'visual': ['visualizations']}"
268, To be honest I don't think this is worth the money. ,{}
269,Advance topic in regression model.,"{'advanc topic': ['Advance topic'], 'regress model': ['regression model']}"
270,recommend to others too,{'other': ['others']}
271,Great and Excellent thoughts and course material. ,"{'great': ['Great'], 'thought': ['thoughts'], 'cours materi': ['course material']}"
272,Quite useful!,{}
273,Should cover a lot of dfificuties when the model assumptions are violated and should be for a longer time or having a second course about this theme.,"{'lot': ['lot'], 'time': ['time'], 'cours': ['course'], 'theme': ['theme']}"
274,"This course will give you a good basic foundation in regression models. However, do be prepared to do a good amount of work besides just viewing the videos. I would recommend at the very least to go through the exercises in the 'recommended textbook' to gain a better understanding.","{'cours': ['course'], 'foundat': ['foundation'], 'regress model': ['regression models'], 'amount': ['amount'], 'work': ['work'], 'video': ['videos'], 'exercis': ['exercises'], 'textbook': ['textbook'], 'understand': ['understanding']}"
275,"Some topics that are important, are obviated",{'topic': ['topics']}
276,Had fun,{'fun': ['fun']}
