,comment,target
145,I loved the exercises and the way the process was centered on making the learner practice and take action!,"{'exercis': ['exercises'], 'way': ['way'], 'process': ['process'], 'learner practic': ['learner practice'], 'action': ['action']}"
146,"two stars because I really suffered during this course I didn't like the instructor behavior of explaining the topics he represents. First of all I didn't like the idea of building over one website, if you didn't get what was happening so you already ruined a part of the total website which you will continue building over during the whole coursesecond the assignments requirements requires additional searches which wasn't explained in details during the session third the explanation is so boring and you can easily lose your concentration because of poor communication skills forth the assignments requires two many details really, Also I need to get the code of other classmates using get source code option on my google chrome and then run it again , there are much efficient ways to handle that like running the delivered assignment directly on the server ","{'star': ['stars'], 'cours': ['course'], 'instructor behavior': ['instructor behavior'], 'topic': ['topics'], 'first': ['First'], 'idea': ['idea'], 'build': ['building'], 'websit': ['website'], 'part': ['part'], 'coursesecond': ['coursesecond'], 'assign requir': ['assignments requirements'], 'search': ['searches'], 'detail': ['details'], 'session': ['session'], 'explan': ['explanation'], 'concentr': ['concentration'], 'communic skill': ['communication skills'], 'assign': ['assignments', 'assignment'], 'code': ['code'], 'classmat': ['classmates'], 'sourc code option': ['source code option'], 'googl chrome': ['google chrome'], 'way': ['ways'], 'server': ['server']}"
147,"It's always tricky to create a course on a framework, since it's always updating itself, but this is a solid base if you think you can't manage to learn everything on your own and need a place to start. After this you'll be familiar with the concept of UI frameworks and therefore will be easier to learn them in the future.","{'cours': ['course'], 'framework': ['framework'], 'base': ['base'], 'everyth': ['everything'], 'concept': ['concept'], 'ui framework': ['UI frameworks'], 'futur': ['future']}"
148,Great course for learning and understanding Bootstrap.,"{'cours': ['course'], 'bootstrap': ['Bootstrap']}"
149,Great Course,{'great cours': ['Great Course']}
150,the instructor is really amazing ,{'instructor': ['instructor']}
151,"Professor Muppala thank you, you really taught me a lot","{'professor muppala': ['Professor Muppala'], 'lot': ['lot']}"
152,Good,{}
153,Great introduction to Bootstrap and LESS. Assignments are practical and build on each other.,"{'introduct': ['introduction'], 'bootstrap': ['Bootstrap'], 'less': ['LESS'], 'assign': ['Assignments']}"
154,Nice approach!,{'approach': ['approach']}
155,Great course!,{'cours': ['course']}
156,I don't like the teacher,{'teacher': ['teacher']}
