,comment,target
135,"This course really brings security and privacy to life. It connects the technically detailed 'how' of the other courses cryptography, software and hardware security with the why. More importantly it helps us make informed choices when designing, and helps us identify the real options.","{'cours': ['course'], 'secur': ['security'], 'privaci': ['privacy'], 'life': ['life'], 'cours cryptographi': ['courses cryptography'], 'softwar': ['software'], 'hardwar secur': ['hardware security'], 'choic': ['choices'], 'option': ['options']}"
136,"Great course, I loved the examples and video of practices throughout the learning!","{'cours': ['course'], 'exampl': ['examples'], 'video': ['video'], 'practic': ['practices'], 'learn': ['learning']}"
137,A very fascinating and enjoyable course! I would highly recommend this to anyone wanting to take the first step in learning about cybersecurity.,"{'cours': ['course'], 'anyon': ['anyone'], 'step': ['step'], 'cybersecur': ['cybersecurity']}"
138,"I found this course very interesting. Even if I already have some knowledge of security in general, I was very happy to follow this course and go in details about all aspect of usable security. Lessons are very clear and easy to understand. I will go forward with other security courses.","{'cours': ['course'], 'knowledg': ['knowledge'], 'secur': ['security'], 'detail': ['details'], 'aspect': ['aspect'], 'lesson': ['Lessons'], 'secur cours': ['security courses']}"
139,"Very interesting course, good material","{'cours': ['course'], 'materi': ['material']}"
140,great,{}
141,I learned the psychology of implementing security systems.,"{'psycholog': ['psychology'], 'secur system': ['security systems']}"
142,"Excellent course, well explained. Not too much things to learn at once. Ideal when you want to start. Would be useful to have also a slide deck next to it for the review and exam preparation.","{'cours': ['course'], 'thing': ['things'], 'slide deck': ['slide deck'], 'review': ['review'], 'exam prepar': ['exam preparation']}"
143,Liked the structure of the course and the way concepts have been integrated with real life practical examples. Would have loved to understand some examples or references to 'design thinking' consideration of some specific industry problems - like building a payments system or a ticketing system etc.,"{'structur': ['structure'], 'cours': ['course'], 'way': ['way'], 'concept': ['concepts'], 'life exampl': ['life examples'], 'exampl': ['examples'], 'refer': ['references'], 'consider': ['consideration'], 'industri problem': ['industry problems'], 'payment system': ['payments system'], 'system etc.': ['system etc.']}"
144,"There are many parts of the lectures that are very quiet and even with my speakers turned to max, I struggled to hear, while other parts were clear. The course is interesting, but I doubt that anyone would pay to attend this course.","{'part': ['parts'], 'speaker': ['speakers'], 'cours': ['course'], 'anyon': ['anyone']}"
145,"I strongly recommend this course to all security software developers, managers and of course to designers.","{'cours': ['course'], 'secur softwar develop': ['security software developers'], 'manag': ['managers'], 'design': ['designers']}"
146,"Very good, excellent course",{'cours': ['course']}
147, Cool ! ,{}
148,Thanks for the course. it's very useful for my present job ,"{'thank': ['Thanks'], 'cours': ['course'], 'job': ['job']}"
149,"would be nice if you could see the questions and answers after you take a quiz or exam, that way its easier to lean where you went wrong on a question.","{'question': ['question', 'questions'], 'answer': ['answers'], 'way': ['way']}"
150,Nice course with more important info,"{'cours': ['course'], 'info': ['info']}"
151,thanks alot,{'thank': ['thanks']}
152,"Best course to learn about usable security, If you are familiar with Human Computer Interaction then easily can related the security issue in between Human and Machine. ","{'cours': ['course'], 'secur': ['security'], 'comput interact': ['Computer Interaction'], 'secur issu': ['security issue']}"
153,Well organized. Material is well presented and relevant.,{'materi': ['Material']}
154,This course broaden your perspective of security and how are the best ways to design the security of the systems from the perspective of the users.I recommended this course to all programmers and designers no matter what level you have.,"{'cours': ['course'], 'perspect': ['perspective'], 'secur': ['security'], 'way': ['ways'], 'system': ['systems'], 'programm': ['programmers'], 'design': ['designers'], 'matter': ['matter']}"
155,this course is amazing,{'cours': ['course']}
156,It was a powerful course,{'cours': ['course']}
157,Great class. Ms. Golbeck is very clear and the pacing is great. I like that you can skip ahead to the next week if you have the time.,"{'class': ['class'], 'ms. golbeck': ['Ms. Golbeck'], 'pace': ['pacing'], 'week': ['week'], 'time': ['time']}"
158,"Covered many topics which are complementary to skills i'm improving or I wanna improve. Also, usability is always something relegated on software engineering so it's valuable to find a course to learn more about it.","{'topic': ['topics'], 'skill': ['skills'], 'usabl': ['usability'], 'someth': ['something'], 'softwar engin': ['software engineering'], 'cours': ['course']}"
159,Great course. I recomend for everyone.,"{'cours': ['course'], 'everyon': ['everyone']}"
160,Very interesting course that will help you in designing systems that people will want to use!,"{'cours': ['course'], 'system': ['systems'], 'peopl': ['people']}"
161,"The course was pretty good, I certainly learned a lot, but more hands on material would have been nice Interactive Thanks","{'cours': ['course'], 'lot': ['lot'], 'hand': ['hands'], 'materi': ['material'], 'thank': ['Thanks']}"
162,"This course improved my perspective of security and privacy. The concepts of usability is something I will use on every system I develop from now on. The University of Maryland team does a wonderfull work to keep the understanding easy and completed, much thanks to them.","{'cours': ['course'], 'perspect': ['perspective'], 'secur': ['security'], 'privaci': ['privacy'], 'concept': ['concepts'], 'usabl': ['usability'], 'someth': ['something'], 'system': ['system'], 'wonderful': ['wonderfull'], 'work': ['work'], 'understand': ['understanding'], 'thank': ['thanks']}"
163,A great course that has completely changed my perception towards software design with the course USABLE SECURITY. The materials and lecture videos are nothing but wonderful. I really had a great time while learning. Thanks,"{'cours': ['course'], 'percept': ['perception'], 'softwar design': ['software design'], 'cours secur': ['course SECURITY'], 'materi': ['materials'], 'lectur video': ['lecture videos'], 'noth': ['nothing'], 'time': ['time'], 'thank': ['Thanks']}"
164,Informative and practical use of Security design,"{'use': ['use'], 'secur design': ['Security design']}"
165,Great course!,{'cours': ['course']}
166,W,{}
167,V,{}
168,Nice course,{'cours': ['course']}
169,Very Good course,{'cours': ['course']}
170,I did not learn a lot. ,{'lot': ['lot']}
171,Great education program for usable security ,"{'educ program': ['education program'], 'secur': ['security']}"
172,"Instructor was easy to follow, made clear points with today's technology examples and kept me engaged during my time.","{'instructor': ['Instructor'], 'point': ['points'], 'technolog exampl': ['technology examples'], 'time': ['time']}"
173,Great,{}
174,Very good course.. I learned much!Thank you for this opportunities,{'cours': ['course']}
175,"Helps reform UNIX and C lovers, let's not be the BOFH and make usable systems for our users!","{'reform unix': ['reform UNIX'], 'c lover': ['C lovers'], 'system': ['systems'], 'user': ['users']}"
176,Useful concepts. Quite simple.,{'concept': ['concepts']}
177,Excellent course. A must for every software architect of any software that has human interaction.,"{'cours': ['course'], 'softwar': ['software'], 'interact': ['interaction']}"
178,Bad sound quality,{'qualiti': ['quality']}
179,"I sincerely enjoyed this course. The instructor was clear, concise, and obviously passionate about the subject matter. I appreciate that reading materials were complimentary to the videos. I can say I actually walked away with information I can apply to my career. I gained a new perspective about usability testing and implementation that I will be employing in my network authentication practices and policy development.","{'cours': ['course'], 'instructor': ['instructor'], 'matter': ['matter'], 'materi': ['materials'], 'video': ['videos'], 'inform': ['information'], 'perspect': ['perspective'], 'usabl test': ['usability testing'], 'implement': ['implementation'], 'network authent practic': ['network authentication practices'], 'polici develop': ['policy development']}"
180,thanks for the lectures. the best so farvery informative. never knew system designers have to go through a lot to make it usable. wow now am a system designer ,"{'thank': ['thanks'], 'system design': ['system designer', 'system designers'], 'lot': ['lot'], 'wow': ['wow']}"
181,amazing course and i would recommend it for others for sure,"{'cours': ['course'], 'other': ['others']}"
182,If there were some Powerpoint slides in the course memorising would have been easier. Thanks a lot.,"{'powerpoint slide': ['Powerpoint slides'], 'cours': ['course'], 'thank': ['Thanks'], 'lot': ['lot']}"
183,Good Course. But has many generic stuffs. We will get to know about most of the security details that we come across our day today life,"{'cours': ['Course'], 'stuff': ['stuffs'], 'secur detail': ['security details'], 'day': ['day'], 'today life': ['today life']}"
184,Excellent introductory course for increasing your usability and security in soft,"{'cours': ['course'], 'usabl': ['usability'], 'secur': ['security']}"
185,Great course!Very interesting and very ingaging content I would go so far as to say very usable ,"{'course!veri': ['course!Very'], 'content': ['content']}"
186,Is an excellent course.,{'cours': ['course']}
187,Great course! Very intriguing insights regarding security. So many of my 'myths' got busted.,"{'cours': ['course'], 'insight': ['insights'], 'secur': ['security'], 'myth': ['myths']}"
188,It was really good on content part. I really like the course material. It is going to help me in my current organization project development work. At the same time i want to explore other available courses on cyber security.,"{'part': ['part'], 'cours materi': ['course material'], 'project develop work': ['project development work'], 'time': ['time'], 'cours': ['courses'], 'cyber secur': ['cyber security']}"
189,"I love this course, I have learn a lot!","{'cours': ['course'], 'lot': ['lot']}"
190,"I've learned a lot in this course about usability. It focuses more on the user and creating a system that works best for the user, rather than the designer. I've also learned how to create better passwords that are more secure and user-friendly. I would recommend this course to anyone.","{'lot': ['lot'], 'cours': ['course'], 'usabl': ['usability'], 'user': ['user'], 'system': ['system'], 'design': ['designer'], 'password': ['passwords'], 'anyon': ['anyone']}"
