,comment,ratio
273,"It is very interesting, helpful, useful and wonderful course. Everybody who interesting in statistic must surely learn this course.",0.739130434783
274,It's not an intro class. But you can practice a lot if you know something. ,0.736842105263
275,"Disadvantages : Lacks Rigour, Lacks Support from instructors , Expensive , Peer review ( this is somewhat bad as most barely give any comments, though towards the end, reviews tend to be pretty good). *** DISCLAIMER *** I am not statistically significant as i only receive 3 reviews per week. Advantages :Quick to earn cert, prewritten code available for easy use. Assignments on your own data. This is probably useful for people wanting to learn techniques for data analysis, who need not go too deep into the technique. I would recommend this to people learning techniques for data analysis in various non-mathematical and non-statistical fields, though the content lacks rigour, and you need outside sources to help understand techniques. This course IS NOT WORTH PAYING USD79, there are definitely other courses much more worth the money. You can audit it for free, if you do not want a cert. ",0.520467836257
276,I would like to have an opportunity to contact my reviews.,0.75
277,Not impressed with the teaching style.Seems that lectures were being read and not taught.,0.647058823529
278,Not deep enough on diagnostic and interpretation,1.0
279,"It was okay for an introduction to the methods, but I would have liked to learn about them in more details, i.e. the course was too short.",0.606060606061
280,Excellent course,1.0
281,Fantastic course! I would recommend to anyone interested in learning the graph data structure in a fun and hands-on and engaging way! Definitely one of the best courses I have followed on Coursera.,0.657894736842
282,"Although it is a little bit hard for beginner, it's really useful !! I am so happy that I have learned a lot about graph since there are many difficulties in this course.",0.783783783784
283,Pretty challenging but very interesting with a lot of useful assignments. Certainly good for those who aren't familiar with a data structure called graphs.,0.642857142857
284,One of the coolest courses I took on Coursera!,0.6
285,"Excellent course, appreciated the peer review aspect.",0.666666666667
286,Very well structured course.,0.8
287,Excellent job! Learning various search algorithms with diverse applications in real life.,0.714285714286
288,A great and 'must-do' course for all beginners.,0.615384615385
289,Great ,1.0
290,Good introduction to Data Structures with Java examples,0.625
291,"I thought the course was an outstanding treatment of data structures and algorithms. The instructors advance to more complex structures and algorithms as the student progresses. I never felt overwhelmed at any stage, and by the end of the course, I was impressed with how much new material we had covered.",0.571428571429
292,Very good course. I wish we could have done more algorithms with the map. Such a great way to teach algorithms. ,0.791666666667
293,Great learning!,0.666666666667
294,"It was really great course ,well designed and challenging .",0.727272727273
295,Course teams really spend a lot of time for providing a great studying experience and procedure.,0.764705882353
